MaCK,SanCK,GiaHienTai,GiaSoSach,P/B,CaoNhat52Tuan,ThapNhat52Tuan,EPS,PE,ROA,ROE,Beta,KhoiLuongLuuHanh,KhoiLuongNiemYet,CoPhieuQuy,NuocNgoaiSoHuu,VonThiTruong,DoanhThu-ttm(Trieu),LNST-ttm,VonCSH,TongNo,TongTaiSan,TenCongTy,TenQuocTe,DiaChi,DienThoai,Fax,Website,,,,,
GND,HASTC,30.2000,0,90257%,33.00,19.54,6.09,5.0,1376%,1821%,1.24,9000000,9000000,0,0,271800007,69711,0,301103,97550,398652,CTCP Gạch ngói Đồng Nai,Dong Nai Brick and Tile Corporation,119 Điện Biên Phủ - P. Đa Kao - Q. 1 - Tp. Hồ Chí Minh,(84.28) 3822 3978 - 3829 5881 - 3822 8124,028 3824 2493,http://www.tuildonai.com.vn,,,,,
GQN,HASTC,10.1000,0,105208%,10.10,10.10,-0.17,-59.4,-143%,-172%,0.00,846000,846000,0,0,8544600,0,0,8124,1658,9782,Trung tâm Giống Thủy sản Quảng Nam,Quang Nam Aquatic Breeding Center,Thôn Trung Đàn - X. Tam Đại - H. Phú Ninh -T. Quảng Nam,,,,,,,,
GSM,HASTC,13.0000,0,94683%,11.70,8.10,1.02,12.7,510%,742%,1.02,28562000,28562000,0,13995380,371306000,127740,0,392138,178006,570143,CTCP Thủy điện Hương Sơn,Huong Son Hydro Power Joint Stocks Company,Km70 Quốc lộ 8A - X.Kim Sơn 1 - H.Hương Sơn - T.Hà Tỉnh,(84.239) 387 6017,393876017,http://thuydienhuongson.vn,,,,,
GTD,HASTC,20.4000,0,422360%,29.00,17.00,-1.48,-13.8,-1249%,-3055%,0.54,9300000,9300000,0,0,189719996,0,0,44946,64973,109919,CTCP Giầy Thượng Đình,Thuong Dinh Footwear JSC,Số 277 Nguyễn Trãi - P. Thanh Xuân Trung - Q. Thanh Xuân - Tp. Hà Nội,(84.24) 3854 4312 - 3858 6628,024 38582063,http://www.thuongdinhfootwear.com.vn,,,,,
GTH,HASTC,5.1000,0,41701%,7.63,3.62,0.37,13.8,45%,305%,1.02,2735500,2735500,0,1340313,13951050,0,0,33464,191214,224678,CTCP Xây dựng - Giao thông Thừa Thiên Huế,Thua Thien Hue Construction - Transportation JSC,Lô 77 - Phạm Văn Đồng - P.Vỹ Dạ - Tp.Huế - T.Thừa Thiên Huế,(84.234) 381 2849,54.3823426,http://www.xdgt-tth.com.vn,,,,,
GTK,HASTC,12.0000,0,120000%,12.00,12.00,-0.02,-600.0,-9%,-15%,0.00,7700000,7700000,0,0,92400000,0,0,76976,49294,126271,CTCP Giầy Thụy Khê,Thuy Khue Shoes JSC,KCN Phú Minh - P.Cổ Nhuế 2 - Q.Bắc Từ Liêm - Hà Nội,(84.43) 764 0061,,https://thuykhueshoesco.com.vn/,,,,,
GTS,HASTC,9.5000,0,80236%,12.15,7.34,1.60,5.9,565%,1351%,1.00,28499764,28499764,0,0,270747758,1142100,0,337567,470374,807940,CTCP Công trình Giao thông Sài Gòn,SaiGon Traffic Construction Joint Stock Company,476 Huỳnh Tấn Phát - P. Bình Thuận - Q. 7 - Tp. HCM,(84.28).3855 8649,028 385 58649,http://giaothongsaigon.com.vn/,,,,,
GTT,HASTC,0.6000,0,N/A,0.90,0.20,-2.98,-0.2,-1930%,1205%,2.28,43503000,43503000,0,21306095,26101801,10878,0,-1075201,1746551,671349,CTCP Thuận Thảo,Thuan Thao Corporation,Số 03 Hải Dương - Bình Ngọc - Tp.Tuy Hoà - T.Phú Yên,(84.257) 382 4229,+84-(0)57-382.34.66,http://www.thuanthao.com.vn,,,,,
GVT,HASTC,70.3000,0,263889%,81.00,27.73,12.36,5.7,1927%,4639%,1.26,11605100,11605100,0,0,815838565,1213831,8924,309116,435084,744201,CTCP Giấy Việt Trì,Viet Tri Paper Joint Stock Company,Đường Sông Thao - P. Bến Gót - Tp. Việt Trì - T. Phú Thọ,(84.210) 386 2761,0210 3862 754,www.giayviettri.com.vn,,,,,
H11,HASTC,6.9000,0,59896%,19.00,4.20,0.19,36.3,27%,164%,1.77,1060000,1060000,0,519400,7314000,0,0,12212,62028,74240,CTCP Xây dựng HUD101,HUD101 Construction JSC,Số 7 Biệt thự 6 - Khu đô thị Xa La - P. Phúc La - Q. Hà Đông - Tp. Hà Nội,(84.24) 3868 9892,2438689810,http://www.hud101.vn,,,,,
HAB,HASTC,76.0000,0,693431%,76.00,27.80,0.54,140.7,364%,493%,0.16,2000000,2000000,0,0,152000000,11663,-1000,21911,7764,29674,CTCP Sách và Thiết bị Trường học Hà Nội,HaNoi School Books And Equipment JSC,Số 45B Lý Thường Kiệt - P. Trần Hưng Đạo - Q. Hoàn Kiếm - Tp. Hà Nội,(024) 3936 1052,024 3936 1053,http://stbhn.edu.vn,,,,,
HAC,HASTC,8.5000,0,75488%,10.59,4.27,1.00,8.5,778%,888%,2.17,29181096,29181096,0,0,248039316,61080,29158,328497,46485,374982,CTCP Chứng khoán Hải Phòng,Hai Phong Securities Joint Stock Company,Số 24 Cù Chính Lan - Q.Hồng Bàng - Tp.Hải phòng,(84.225) 384 2335,031 3746266,http://www.haseco.vn,,,,,
HAD,HASTC,16.7000,0,90222%,21.91,10.08,1715.00,0.0,8%,9%,1.03,4000000,4000000,0,1960000,66800003,144686,0,74043,14731,88775,CTCP Bia Hà Nội - Hải Dương,Ha Noi - Hai Duong Beer JSC,Phố Quan Thánh - P. Bình Hàn - Tp. Hải Dương - T. Hải Dương,(84.220) 385 2319,+84-(0)320-385.98.35,http://www.habecohd.com.vn,,,,,
HAF,HASTC,30.7000,0,298348%,38.00,11.70,-0.60,-51.2,-359%,-581%,2.74,14500000,14500000,0,0,445150011,130538,-8665,149158,92497,241655,CTCP Thực phẩm Hà Nội,Hanoi Foodstuff Joint Stock Company,Số 24-26 Trần Nhật Duật - P. Đồng Xuân - Q. Hoàn Kiếm - TP. Hà Nội,(84.24) 3825 3825,024 3828 2601,http://www.thucphamhanoi.com.vn,,,,,
HAM,HASTC,24.0000,0,84746%,29.60,12.53,5.01,4.8,280%,1770%,0.15,6225399,6225399,0,0,149409576,0,0,176274,936699,1112973,CTCP Vật tư Hậu Giang,Hau Giang Materials Joint Stock Company,184 Trần Hưng Đạo - P. An Nghiệp - Q. Ninh Kiều - Tp. Cần Thơ,(84.292) 388 1415,0292 3734492,http://www.hamaco.vn,,,,,
HAN,HASTC,11.5000,0,97458%,27.50,7.55,0.16,71.9,35%,138%,1.83,141048000,141048000,0,0,1622052000,1759345,2226,1513333,3321580,4834914,Tổng Công ty Xây dựng Hà Nội - CTCP,Hanoi Construction Corporation – JSC,Số 57 Quang Trung - P.Nguyễn Du - Q.Hai Bà Trưng - Tp.Hà Nội,(84.24) 3943 9063,(84 4) 3943 9521,http://www.hancorp.vn/,,,,,
HAP,HASTC,11.2000,0,85692%,19.20,2.90,0.79,14.2,540%,603%,1.67,55315681,55471151,155470,25244915,621276881,330845,43626,722969,85249,808218,CTCP Tập đoàn Hapaco,Hapaco Corporation,Tầng 3 Toà nhà Green Số 7 Lô 28A đường Lê Hồng Phong - P. Đông Khê - Q. Ngô Quyền - Tp. Hải Phòng,(84.225) 355 6002,2253556008,http://www.hapaco.vn,,,,,
HAT,HASTC,19.5000,0,95448%,27.20,18.03,1.36,14.3,311%,665%,1.01,3123000,3123000,0,1530270,60898500,778756,0,63813,72459,136272,Công ty Cổ phần Thương mại Bia Hà Nội,Ha Noi Beer Trading Joint Stock Company,Số 183 Hoàng Hoa Thám, phường Ngọc Hà, quận Ba Đình, Hà Nội,024 37.28.14.76,024 37.28.11.06,www.biahoihanoi.com.vn,,
HAV,HASTC,3.2000,0,71749%,4.30,2.60,-0.28,-11.4,-354%,-628%,0.66,3297860,3297860,0,0,10553152,0,0,14715,11400,26114,Công ty Cổ phần Rượu Hapro,Hapro Vodka Joint Stock Company,Khu công nghiệp Hapro, xã Lệ Chi, huyện Gia Lâm, Hà Nội,024 38 276 600,024 38 276 600,www.haprogroup.vn,,
HAW,HASTC,10.0000,0,N/A,10.00,10.00,,0.0,0%,0%,0.00,61500,61500,0,0,615000,15038,0,321754,5882,327635,Trung tâm Nước sạch và Vệ sinh môi trường nông thôn,Trung tâm Nước sạch và Vệ sinh môi trường nông thôn,,,,,,,,,
HBD,HASTC,15.4000,0,90482%,18.20,8.66,1.82,8.5,1007%,1069%,0.78,1797700,1904400,106700,727790,29327759,38441,0,30593,1864,32457,CTCP Bao Bì PP Bình Dương,Binh Duong PP Pack Making Joint Stock Company,Lô 89 - Đường số 6 - KCN Sóng thần 1 - TX.Dĩ An - T.Bình Dương,(84.274) 373 2850,+84-(0650)-373.28.51,http://www.haipacbd.com,,,,,
HBE,HASTC,7.4000,0,61564%,9.60,6.50,0.79,9.4,575%,661%,0.61,2231058,2231058,0,1093218,16509829,50949,0,26827,3965,30792,CTCP Sách thiết bị Trường học Hà Tĩnh,Ha Tinh Book And Equipment Education JSC,58 Phan Đình Phùng - P. Nam Hà - Tp.Hà Tĩnh - T.Hà Tĩnh,(84.239) 385 9708 - 389 7799,0393.892839,http://hbec.com.vn,,,,,
HBH,HASTC,5.7000,0,63404%,9.40,3.10,0.99,5.8,675%,1100%,1.69,16000000,16000000,0,0,91199997,294386,0,143808,90662,234470,CTCP Habeco - Hải Phòng,Habeco - Hai Phong Joint Stock Company,Thị trấn Trường Sơn - H. An Lão - Tp. Hải Phòng,(84.225) 366 7163,0313 667 189,http://habecohaiphong.com.vn/,,,,,
HBS,HASTC,6.9000,0,58326%,10.40,1.80,0.13,53.1,112%,113%,2.59,32999980,32999980,0,16169990,227699865,13886,4417,390308,2474,392782,CTCP Chứng khoán Hòa Bình,Hoa Binh Securities JSC,Tầng 7-9 Tòa nhà 46-48 - Bà Triệu - P.Hàng Bài - Q.Hoàn Kiếm - Tp.Hà Nội,(84.24) 3936 8866,024 39.36.86.65,http://www.hbse.com.vn,,,,,
HBW,HASTC,7.1000,0,66667%,11.70,7.10,0.12,59.2,19%,108%,0.39,6679289,6679289,0,0,47422951,0,0,71135,330954,402089,CTCP Nước sạch Hòa Bình,Hoa Binh Clear Water JSC,Tổ 2 - P. Tân Thịnh - Tp. Hòa Bình - T. Hòa Bình,(84.218) 3885 912,,http://capthoatnuochoabinh.vn/,,,,,
HC1,HASTC,14.3000,0,57661%,23.80,14.30,1.57,9.1,105%,635%,0.60,8000000,8000000,0,0,114400002,427282,0,198385,1001238,1199623,CTCP Xây dựng Số 1 Hà Nội,Hanoi Construction Joint Stock Company No1,59 Quang Trung - Nguyễn Du - Q.Hai Bà Trưng - Tp.Hà Nội,(84.24) 3942 6957,,http://www.hacc1.com.vn,,,,,
HC3,HASTC,27.1000,0,72402%,35.36,17.88,6.00,4.5,1409%,1604%,1.40,18805267,18805267,0,0,509622743,78332,112892,703921,97564,801485,CTCP Xây dựng Số 3 Hải Phòng,HaiPhong Construction Joint Stock Corporation No3,Tầng 3 Tòa nhà Htower II - Số 195 Văn Cao - P. Đằng Giang - Q. Ngô Quyền - Tp. Hải Phòng,(84.225) 384 9481,0225 3840314,http://www.haco3.com.vn,,,,,
HCB,HASTC,19.0000,0,76000%,20.70,12.18,1.91,9.9,138%,763%,1.15,5199274,5199274,0,0,98786206,0,0,129976,586514,716490,CTCP Dệt may 29/3,March 29 Textile - Garment Joint Stock Company,60 Mẹ Nhu - Q.Thanh Khê - Tp.Đà Nẵng,(84.236) 3759991,,http://www.hachiba.com.vn,,,,,
HCC,HASTC,10.1000,0,90991%,12.47,9.10,0.03,336.7,14%,26%,0.75,6518586,6518586,0,1798555,65837721,182730,0,72324,61746,134071,CTCP Bê tông Hòa Cầm - Intimex,Intimex - Hoa Cam Concrete JSC,Lô B6 - 5 KCN Thuận Yên - P. Hòa Thuận - Tp. Tam Kỳ - Tỉnh Quảng Nam,(84.24) 236 670 000,0235 2220009,http://www.betonghoacam.com.vn,,,,,
HCI,HASTC,19.2000,0,120376%,37.40,19.20,3.81,5.0,1043%,2391%,0.49,5232000,5232000,0,2558980,100454404,0,0,83449,107903,191353,CTCP Đầu tư Xây dựng Hà Nội,Ha Noi Construction Investment Joint Stock Company,76 Phố An Dương - P.Yên Phụ - Q.Tây Hồ - Tp.Hà Nội,(84.24) 3829 2974 - 3829 3847,024 38.29.23.91,http://hancic.com.vn,,,,,
HCS,HASTC,14.3000,0,98012%,59.72,11.10,2.96,4.8,651%,2030%,0.98,2250000,2250000,0,0,32175000,0,0,32825,69440,102265,CTCP Thông tin Tín hiệu Đường sắt Hà Nội,Hanoi Railway Signal & Telecom JSC,Số 11A - Phố Nguyễn Khuyến - P. Văn Miếu - Q. Đống Đa - Tp. Hà Nội,(84.24) 3747 0303,(+84)4 3747 1758,www.hasitec.com.vn,,,,,
HCT,HASTC,13.2000,0,66099%,17.70,8.00,0.24,55.0,108%,119%,1.10,2016385,2016385,0,988028,26616282,87297,0,40267,3891,44158,CTCP Thương mại Dịch vụ Vận tải Xi măng Hải Phòng,Hai Phong Cement Transport & Trading JSC,Số 290 Hà Nội - P.Sở Dầu - Q.Hồng Bàng - Tp.Hải Phòng,(84.225) 354 0445,+84-(0)313-54.04.17,http://www.vtxmhp.com,,,,,
HD2,HASTC,7.5000,0,58548%,11.00,3.73,0.05,150.0,39%,42%,1.52,8962353,8962353,0,4386352,67217648,148736,3771,114847,9541,124387,CTCP Đầu tư Phát triển Nhà HUD2,Housing Development Investment Joint Stock Company HUD2,777 Giải Phóng - P.Giáp Bát - Q.Hoàng Mai - Tp.Hà Nội,(84.24) 3668 6575,+84 (4) 366-46321,http://hud2.com.vn,,,,,
HD6,HASTC,12.5000,0,92251%,15.00,6.50,0.18,69.4,29%,135%,0.00,14400000,14400000,0,0,180000000,92887,3571,197421,843579,1041000,CTCP Đầu tư và Phát triển Nhà số 6 Hà Nội,CTCP Đầu tư và Phát triển Nhà số 6 Hà Nội,,,,,,,,,
HD8,HASTC,8.7000,0,68396%,10.10,5.53,0.54,16.1,221%,427%,1.33,10000000,10000000,0,0,86999998,0,0,127225,117970,245195,CTCP Đầu tư Phát triển Nhà và Đô thị HUD8,Housing and Urban Development Investment Joint Stock Company HUD8,Lô CC3 - Khu đô thị mới Mỹ Đình II - P. Mỹ Đình 2 - Q. Nam Từ Liêm - Tp. Hà Nội,(84.243) 785 5709,,http://hud8.vn/,,,,,
HDA,HASTC,18.5000,0,103122%,17.90,7.00,0.82,22.6,256%,456%,0.94,11500000,11500000,0,5635000,212750000,358190,6546,206365,160538,366904,CTCP Hãng sơn Đông Á,Dong A Paint Joint Stock Company,Số 104 - ngõ 140 Khuất Duy Tiến - P.Nhân Chính - Q.Thanh Xuân - Tp.Hà Nội,(84.24) 3698 3471,024 36.983.786,http://www.hangsondonga.com.vn,,,,,
HDM,HASTC,17.1000,0,87737%,18.50,12.20,1.19,14.4,198%,611%,0.72,10000000,10000000,0,2385282,171000004,1210385,10335,194929,407236,602166,CTCP Dệt may Huế,Hue Textile Garment JSC,Số 122 Dương Thiệu Tước - P.Thủy Dương - Tx.Hương Thủy - T.Thừa Thiên Huế,(84.23) 4386 4337,0234.3864.338,http://huegatex.com.vn,,,,,
HDO,HASTC,0.8000,0,N/A,1.20,0.20,-6.29,-0.1,6721%,6721%,2.35,16679879,16819879,140000,7330340,13455903,3472,0,-156067,0,-156067,CTCP Hưng Đạo Container,Hung Dao Container Joint Stock Corporation,62 Nguyễn Cửu Vân - P.17 - Q.Bình Thạnh - Tp.HCM,(84.28) 3840 3210 - 3840 3211,028 38403209,http://www.hungdaocontainer.com.vn,,,,,
HDP,HASTC,11.6000,0,93398%,12.65,7.54,0.81,14.3,313%,649%,1.03,9011418,9011418,0,0,104532452,194367,2694,111925,120177,232102,CTCP Dược Hà Tĩnh,Ha Tinh Pharmaceutical JSC,Số 167 Hà Huy Tập - P. Nam Hà - Tp. Hà Tĩnh - T. Hà Tĩnh,(84.239) 385 4398,393856821,http://hadiphar.vn,,,,,
HDW,HASTC,13.0000,0,98410%,16.00,10.20,1.66,7.8,551%,1255%,0.36,31882470,31882470,0,0,414472110,503077,0,421239,538547,959786,CTCP Kinh doanh Nước sạch Hải Dương,Hai Duong Water Joint Stock Company,Số 10 - Đường Hồng Quang - P. Quang Trung - Tp. Hải Dương - T. Hải Dương,(84.220) 384 0380 - 385 9104,(0220) 384 0393 - 385 9010,http://hdwaco.com.vn,,,,,
HEC,HASTC,61.0000,0.1,108580%,82.55,33.04,11.08,5.5,816%,1971%,2.09,4200000,4200000,0,0,256200000,0,0,235963,333908,569871,CTCP Tư vấn Xây dựng Thủy Lợi II,Hydraulic Engineering Consultant Corporation II,Số 169 Trần Quốc Thảo - P. 9 - Q. 3 - Tp. HCM,(84.28) 3931 6753,028 3931 6958,http://www.hec2.com.vn,,,,,
HEJ,HASTC,22.0000,0,125071%,29.80,18.25,1.01,21.8,228%,576%,1.18,4400000,4400000,0,0,96800000,0,0,77409,118404,195813,Tổng Công ty Tư vấn Xây dựng Thủy lợi Việt Nam - CTCP,VietNam Hydraulic Engineering Consultants Corporation - JSC,Số 2 - Ngõ 95 - Phố Chùa Bộc - P. Trung Liệt - Q. Đống Đa - Tp. Hà Nội,(84.24) 3852 2331,0243 5632 169,http://www.hec.com.vn/,,,,,
HEM,HASTC,16.8000,0,104025%,19.90,12.00,0.09,186.7,47%,59%,1.67,38704650,38704650,0,0,650238090,494577,2412,624902,158899,783801,CTCP Chế tạo Điện Cơ Hà Nội,Ha Noi Electromechanical Manufacturing JSC,Km 12 Đường Cầu Diễn - P. Phúc Diễn - Q. Bắc Từ Liêm - Tp. Hà Nội,(84.24) 3765 5510 - 3765 5511,024 376 55509,http://www.hem.vn,,,,,
HEP,HASTC,11.2000,0.1,11216%,28.60,8.08,1.66,6.7,145%,167%,2.21,6000000,6000000,0,0,67199999,0,0,599178,90553,689731,CTCP Môi trường và Công trình Đô thị Huế,Hue Urban Environment And Public Works Joint Stock Company,Số 46 Trần Phú - P. Phước Vĩnh - Tp. Huế,(0234) 3823 896,0254 3848 075,http://www.hepco.com.vn,,,,,
HES,HASTC,24.3000,0,232982%,28.40,10.50,-1.41,-17.2,-1197%,-1351%,1.27,9297450,9297450,0,0,225928028,100126,434,96963,12508,109471,CTCP Dịch vụ Giải trí Hà Nội,Ha Noi Entertainment Service Corporation,Số 614 Lạc Long Quân - Q. Tây Hồ - Tp. Hà Nội,(84.24) 3718 4222 - 3718 4193,024 37184190,http://www.congvienhotay.vn,,,,,
HEV,HASTC,14.8000,0,91584%,15.60,8.94,2.21,6.7,942%,1366%,1.28,1000000,1000000,0,490000,14800000,37735,0,16163,7269,23432,CTCP Sách Đại học Dạy nghề,Higher Education And Vocational Book JSC,Số 25 Hàn Thuyên - Q.Hai Bà Trưng - Tp.Hà Nội,(84.24) 3826 6360 - 3826 4974,43.9726137,http://www.hevobco.com.vn,,,,,
HFB,HASTC,11.0000,0,97002%,11.50,5.16,1.29,8.5,283%,1136%,0.77,9100000,9100000,0,0,100100000,0,0,103229,311141,414370,CTCP Công trình Cầu phà Thành phố Hồ Chí Minh,Ho Chi Minh City Ferry Bridge Construction JSC,451/10 Tô Hiến Thành - P.14 - Q.10 - TP. Hồ Chí Minh,(84.28) 3853 3496 - 3853 3490,028 38.533.495,http://caupha.com,,,,,
HFC,HASTC,17.0000,0,191874%,25.30,5.20,-1.25,-13.6,-235%,-1415%,1.65,6455335,6455335,0,1029000,109740695,0,0,57187,286943,344130,CTCP Xăng dầu HFC,HFC Petroleum Corporation,Tầng F3 - Tòa nhà 187 phố Nguyễn Lương Bằng - P. Quang Trung - Q. Đống Đa - Tp. Hà Nội,(84.24) 3978 0731 - 3978 2833,43.9782341,http://www.hanoifuel.com.vn,,,,,
HFS,HASTC,28.6000,0,270066%,28.60,23.00,-1.12,-25.5,-797%,-1058%,-0.15,10000000,10000000,0,0,286000004,0,0,105862,34673,140536,CTCP Thương mại Dịch vụ Thời trang Hà Nội,Hanoi Trading Service Fashion JSC,Số 13 phố Đinh Lễ - P.Tràng Tiền - Q.Hoàn Kiếm - Hà Nội,(84.24) 3825 3244,024 3825 5219,http://www.hafasco.com.vn,,,,,
HFX,HASTC,1.4000,-0.2,N/A,1.40,1.40,-3.82,-0.4,-1658%,244%,0.00,1270000,1270000,0,622300,1778000,6277,-8023,-199384,228663,29280,CTCP Sản xuất - Xuất nhập khẩu Thanh Hà,Thanh Ha Export - Import Company,122-123 M2 Láng Trung - P.Láng Hạ - Q.Đống Đa - Tp.Hà Nội,(84.24) 3835 9938,024 38.35.99.35,http://haforexim.com.vn,,,,,
HGA,HASTC,10.0000,0,781250%,15.40,10.00,0.01,1000.0,2%,40%,0.32,778181,778181,0,0,7781810,0,0,994,16955,17948,Trung tâm Giống Nông nghiệp tỉnh Hậu Giang,Hau Giang Agricultural Breeding Center,Số 128 - Quốc lộ 61 - Ấp 12 - X. Vị Thắng - H. Vị Thủy - T. Hậu Giang,(84.293) 3572 202,,http://www.giongnongnghiephaugiang.vn/,,,,,
HGC,HASTC,10.0000,0.1,7757%,10.00,10.00,72.71,0.1,4680%,5640%,0.00,55000,55000,0,0,550000,0,0,7090,1455,8544,Trung tâm Quy hoạch - Kiến trúc tỉnh Hậu Giang,Hau Giang Center for Architecture - Planning,Số 1 - Đường Xô Viết Nghệ Tĩnh - P. 5 - Tp. Vị Thanh - T. Hậu Giang,(84.293) 387 0979,,,,,,,
HGM,HASTC,42.0000,0,329412%,42.00,33.00,1.41,29.8,966%,1107%,-0.01,12600000,12600000,0,6174000,529200000,101364,0,160631,23391,184023,CTCP Cơ khí và Khoáng sản Hà Giang,Ha Giang Mineral and Mechinics Joint Stock Company,Số 390 Nguyễn Trãi - P.Nguyễn Trãi - Tp.Hà Giang - T.Hà Giang,(84.219) 386 6708,+84-(0)219-386.70.68,http://www.hgm.vn,,,,,
HGR,HASTC,10.0000,0,N/A,10.00,10.00,,0.0,0%,0%,0.00,10000,10000,0,0,100000,0,0,,,,CTCP Tài nguyên và Môi trường Hậu Giang,Hau Giang Resources And Environment JSC,Đường Võ Văn Kiệt - Khu vực 4 - P. V - Tp. Vị Thanh - T. Hậu Giang,(84.293) 387 8922,,,,,,,
HGT,HASTC,10.0000,0,115741%,10.00,10.00,-2.29,-4.4,-2118%,-2654%,0.00,20000000,20000000,0,0,200000000,20521,0,172723,43663,216386,Công ty cổ phần Du lịch Hương Giang,Công ty cổ phần Du lịch Hương Giang,,,,,,,,,
HGW,HASTC,8.0000,0,51381%,13.62,6.10,0.58,13.8,305%,373%,0.65,24878291,24878291,0,0,199026328,220334,4852,387268,86614,473882,CTCP Cấp thoát nước - Công trình Đô thị Hậu Giang,HAUGIANG WATER SUPPLY AND SEWERAGE - PROJECTS URBAN JSC,Số 263 - Đường Trần Hưng Đạo - P. 5 - TP. Vị Thanh - T. Hậu Giang,(84.293) 387 6357,02933 876357,http://capnuochaugiang.vn/,,,,,
HHC,HASTC,77.2000,0,276208%,107.00,62.80,2.39,32.3,341%,854%,1.17,16425000,16425000,0,8048250,1268009950,1463002,0,459044,689227,1148272,CTCP Bánh kẹo Hải Hà,Haiha Confectionery JSC,25 - 27 Trương Định - P.Trương Định - Q.Hai Bà Trưng - Tp.Hà Nội,(84.24) 3863 2956 - 3863 2041,024 3863.16.83,http://www.haihaco.com.vn,,,,,
HHG,HASTC,2.8000,0,35354%,5.60,1.10,-1.82,-1.5,-1581%,-2301%,2.60,34896354,34896354,0,14131661,97709790,105483,-14212,276263,125805,402068,CTCP Hoàng Hà,Hoang Ha Joint Stock Company,Số 368 phố Lý Bôn - P.Tiền Phong - Tp.Thái Bình - T.Thái Bình,(84.227) 625 0250 - 384 2842,363848648,http://www.hoanghaco.com.vn,,,,,
HHN,HASTC,6.6000,0,49962%,6.60,6.60,0.05,132.0,25%,36%,0.00,1440000,1440000,0,0,9504000,0,0,19026,8286,27312,CTCP Vận tải và Dịch vụ Hàng hóa Hà Nội,Ha Noi Goods services and transport JSC,Số 27/78 Trương Định - P. Thịnh Liệt - Q. Hoàng Mai - Tp. Hà Nội,(84.43) 864 2881,024 38642881,www.vantaihanoi.com.vn,,,,,
HHR,HASTC,0.4000,0,2981%,0.40,0.25,2.51,0.2,333%,1869%,0.07,1380000,1380000,0,0,552000,72853,660,16557,73254,89810,CTCP Đường sắt Hà Hải,Ha Hai Railway Joint Stock Company,Ngách 481/73 - Đường Ngọc Lâm - P. Gia Thụy - Q. Long Biên - Hà Nội,(84.24) 3873 0146,+84 38730 146,http://duongsathahai.vn/,,,,,
HHV,HASTC,17.6000,0,53675%,23.80,14.00,0.83,21.2,58%,254%,1.36,227009090,227009090,0,2419375,3995360071,1231795,189240,7443787,24983290,32427077,CTCP Đầu tư Hạ tầng Giao thông Đèo Cả,Deo Ca Traffic Infrastructure Investment JSC,Số 27 Bùi Chát - P. Hòa Khánh Bắc - Q. Liên Chiểu - Tp. Đà Nẵng,(84.236) 373 3467 - 373 0574,0236 3842 713,www.hamadeco.com.vn,,,,,
HIG,HASTC,9.3000,0,64763%,12.20,5.79,0.07,132.9,29%,48%,1.85,21277434,21918232,640798,4379662,203839562,709480,9652,306207,285931,592138,CTCP Tập đoàn HIPT,HIPT Group Joint Stock Company,Số 152 Thụy Khê - P. Thụy Khê - Q. Tây Hồ - Tp. Hà Nội,(84.24) 3847 4548,024 38.47.45.49,http://www.hipt.vn,,,,,
HIZ,HASTC,49.9000,0,188944%,69.00,20.46,3.24,15.4,184%,1227%,0.98,7500000,7500000,0,0,374250011,0,0,198039,1120937,1318977,CTCP Khu Công nghiệp Hố Nai,Ho Nai Industrial Zone JSC,KCN Hố Nai - X.Hố Nai 3 - H.Trảng Bom - T.Bình Dương,(84.251) 367 1039,(0251) 3 671 040,http://honiz.vn/,,,,,
HJC,HASTC,4.7000,0,42962%,6.40,3.60,0.53,8.9,367%,482%,0.86,12853052,12853052,0,6205194,60409342,394080,2553,140556,43899,184455,CTCP Hòa Việt,Hoa Viet Joint Stock Company,Khu phố 8 - P.Long Bình - Tp.Biên Hòa - T.Đồng Nai,(84.251) 398 1631,613981630,http://www.hoavietjsc.com,,,,,
HJS,HASTC,32.5000,0,208200%,36.90,24.65,2.60,12.5,1463%,1663%,0.53,20999900,20999900,0,10289951,682496750,186038,54539,327898,44805,372703,CTCP Thủy điện Nậm Mu,Nam Mu Hydropower Joint Stock Company,X.Tân Thành - H.Bắc Quang - T.Hà Giang,(84.219) 382 7276,+84-(0)2-193.827.276,http://www.thuydiennammu.com.vn,,,,,
HKB,HASTC,0.8000,0,13445%,1.00,0.60,-1.19,-0.7,-1339%,-1991%,0.24,51599999,51599999,0,25283999,41280000,4090,-61156,307172,149447,456619,CTCP Nông nghiệp và Thực phẩm Hà Nội - Kinh Bắc,Ha Noi – Kinh Bac Agriculture and Food JSC,Số 8 Lô TT-03 Khu đô thị Hải Đăng City - ngõ 2 phố Hàm Nghi - P. Mỹ Đình 2 - Q. Nam Từ Liêm - Tp. Hà Nội,(84.24) 3787 7290,04 37877291,http://hkb.com.vn/,,,,,
HKC,HASTC,35.0000,0,156880%,44.00,14.00,7.87,4.4,2063%,3527%,0.38,2400000,2400000,0,0,84000000,0,0,53534,37987,91521,CTCP Dệt kim Hà Nội,Hanoi Knitting Joint Stock Company,X.Xuân Đỉnh - H.Từ Liêm - Tp.Hà Nội,(84.24) 38362028,,http://www.detkimhanoi.com,,,,,
HKD-X,HASTC,7.7690,0,N/A,7.78,7.75,0.00,0.0,0%,0%,0.00,0,0,0,0,0,0,0,,,,USD/HKD (Hong Kong Dollar,),USD/HKD,,,,,,,,
