MaCK,SanCK,GiaHienTai,GiaSoSach,PB,CaoNhat52Tuan,ThapNhat52Tuan,EPS,PE,ROA,ROE,Beta,KhoiLuongLuuHanh,KhoiLuongNiemYet,CoPhieuQuy,NuocNgoaiSoHuu,VonThiTruong,DoanhThu-ttm(Trieu),LNST-ttm,VonCSH,TongNo,TongTaiSan,TenCongTy,TenQuocTe,DiaChi,DienThoai,Fax,Website,,,,
TNI,HOSE,3.2000,0,30246%,5.05,2.79,-0.11,-29.1,-56%,-106%,1.43,55125000,55125000,0,0,176400003,1289760,0,583488,511679,1095166,CTCP Tập đoàn Thành Nam,Thanh Nam Group Joint Stock Company,Tầng 3 - Tòa nhà FLC Landmark Tower - P. Mỹ Đình 2 - Q. Nam Từ Liêm - Tp. Hà Nội,(84.24) 3787 1397,37871395,http://thanhnamgroup.com.vn,,,,
TNT,HOSE,8.7900,0,81389%,10.05,1.31,0.20,43.9,125%,185%,1.73,25500000,25500000,0,12495000,224144999,115900,0,275352,133430,408782,CTCP Tài Nguyên,Tai Nguyen Corporation,Tầng 19 - Tòa nhà Thăng Long - Số 98 Ngụy Như Kon Tum - P. Nhân Chính - Q. Thanh Xuân - Tp. Hà Nội,(84.24) 6251 0894,024 62510895,http://tainguyen.vn,,,,
TPB,HOSE,33.0000,0,182320%,39.30,16.25,3.87,8.5,178%,2139%,1.47,991639611,1031655667,40016056,0,34044637011,15107855,4045000,17949826,198202860,216152686,Ngân hàng TMCP Tiên Phong,Tien Phong Commercial Joint Stock Bank,Tòa nhà TPBank - 57 Lý Thường Kiệt - Hoàn Kiếm - Hà Nội,(84.24) 3768 8998,043 7688979,https://tpb.vn,,,,
TPC,HOSE,8.8200,0,46544%,11.30,6.46,1.24,7.1,300%,652%,1.66,18107316,21268956,3161640,11970992,187592185,873783,0,343132,402935,746067,CTCP Nhựa Tân Đại Hưng,Tan Dai Hung Plastic Joint Stock Company,Số 414 lầu 5 - Lũy Bán Bích - P.Hòa Thạnh - Q.Tân Phú - Tp.HCM,(84.28) 3973 7277 - 3973 7278,028 973.72.79,http://www.tandaihungplastic.com,,,,
TRA,HOSE,72.5000,0,254565%,76.00,50.76,5.03,14.4,1365%,1767%,0.68,41448293,41450983,2690,16927302,3005196268,1996275,208629,1180379,348435,1528814,CTCP Traphaco,Traphaco Joint Stock Company,75 Phố Yên Ninh - P. Quán Thánh - Q. Ba Đình - Tp. Hà Nội,(84.24) 3734 1797 - 3843 0076 - 3845 4813,024 3.681.49.10,http://www.traphaco.com.vn,,,,
TRC,HOSE,36.0000,0.1,66433%,41.80,28.13,3.28,11.0,498%,604%,1.17,29200000,29600000,400000,14700000,1065600000,410409,47051,1582273,339836,1922108,CTCP Cao su Tây Ninh,Tay Ninh Rubber Joint Stock Company,Quốc lộ 22B - Ấp Đá Hàng - X. Hiệp Thạnh - H. Gò Dầu - T. Tây Ninh,(84.276) 385 3606 - 385 3232,,http://www.taniruco.com,,,,
TS4,HOSE,3.6300,0,35346%,7.00,2.58,-1.38,-2.6,-218%,-1344%,1.26,15942542,16051594,109052,7918716,58267288,458311,0,163673,844490,1008163,CTCP Thủy sản Số 4,Seafood Joint Stock Company No4,Số 320 Hưng Phú - P.9 - Q.8 - Tp.HCM,(84.28) 3954 3361 - 3954 3363 - 3954 3367,028 39543362,http://seafoodno4.com,,,,
TSC,HOSE,9.5000,0,76428%,17.50,2.30,0.10,95.0,73%,79%,1.90,147648084,147648084,0,72347561,1402656798,497789,14568,1835938,152085,1988023,CTCP Vật tư Kỹ thuật nông nghiệp Cần Thơ,Techno - Agricultural Supplying Joint Stock Company,Số 1D Phạm Ngũ Lão - P.Thới Bình - Q.Ninh Kiều - Tp.Cần Thơ,(84.292) 382 5848 - 382 5850,+84-(0)72-3.779.679,http://www.tsccantho.com.vn,,,,
TTA,HOSE,13.7000,0,111928%,23.70,13.45,0.96,14.3,273%,781%,0.86,135000000,135000000,0,0,1849499974,451479,0,1679132,3037593,4716725,Công ty Cổ phần Đầu tư Xây dựng và Phát triển Trường Thành,Công ty Cổ phần Đầu tư Xây dựng và Phát triển Trường Thành,,,,,,,,
TTB,HOSE,5.1200,0,48256%,8.00,4.16,0.23,22.3,91%,218%,1.59,51509583,51509583,0,9481500,263729059,605345,0,546666,758749,1305415,CTCP Tập đoàn Tiến Bộ,Tien Bo Group JSC,Ngõ 1 - Đường Bắc Kạn - Tổ 2 - P. Hoàng Văn Thụ - Tp. Thái Nguyên - T. Thái Nguyên,(84.208) 384 4888,0280 3 651 764,http://www.tienbo.vn,,,,
TTE,HOSE,9.0000,0,91931%,19.00,7.72,-0.66,-13.6,-204%,-675%,1.17,28490400,28490400,0,0,256413600,134938,-18819,278787,642168,920955,CTCP Đầu tư Năng lượng Trường Thịnh,Truong Thinh Energy Investment Joint Stock Company,507 Duy Tân - P. Duy Tân - Tp. Kon Tum - T. Kon Tum,(84.60) 3868 119,,http://www.dientruongthinh.vn/,,,,
TTF,HOSE,7.0400,0,N/A,8.59,2.57,-0.18,-39.1,-167%,627%,1.96,214607198,214607519,321,70857841,1510836926,1348101,-39104,-624135,2963132,2338996,CTCP Tập đoàn Kỹ nghệ gỗ Trường Thành,Truong Thanh Furniture Corporation,Đường ĐT 747 - Khu phố 7 - P. Uyên Hưng - TX. Tân Uyên - T. Bình Dương,(84.274) 364 2004,0274 3642006,http://www.truongthanh.com,,,,
TV2,HOSE,44.6000,0,134337%,47.75,30.36,6553.00,0.0,8%,20%,1.12,36014952,36014952,0,1759041,1606266804,3052571,0,1195781,1944028,3139808,CTCP Tư vấn Xây dựng Điện 2,Power Engineering Consulting JSC 2,32 Ngô Thời Nhiệm - P 7 - Q. 3 Tp. HCM,(84.28) 22216468,2822210408,http://www.pecc2.com,,,,
TVS,HOSE,25.3000,0,151406%,27.30,9.20,5.30,4.8,1139%,3174%,1.02,87335650,87335650,0,23345505,2209591878,820661,463171,1459035,2605108,4064143,CTCP Chứng khoán Thiên Việt,Thien Viet Securities Joint Stock Company,Tầng 4 Tòa nhà TĐL - 22 Láng Hạ - Q.Đống Đa - Tp.Hà Nội,(84.24) 3248 4820,2432484821,http://www.tvs.vn,,,,
TVT,HOSE,24.0000,0,80999%,26.95,17.65,3.99,6.0,537%,1345%,0.79,21000000,21000000,0,0,504000000,1756691,83728,622291,936010,1558301,Tổng Công ty Việt Thắng - CTCP,Viet Thang Corporation,127 Lê Văn Chí - P. Linh Trung - Q. Thủ Đức - Tp. Hồ Chí Minh,(84.28) 3896 9337 - 3896 0542 - 3896 0543,028 3896 9319,https://vietthang.com.vn/,,,,
TYA,HOSE,14.5500,0,91625%,15.85,11.48,2.17,6.7,612%,1368%,0.70,30680582,6134773,0,3006038,89260948,1816170,0,487142,602419,1089561,CTCP Dây và Cáp Điện Taya Việt Nam,Taya (Vietnam) Electric Wire And Cable JSC,Số 1 - Đường 1A - KCN Biên Hòa II - P. An Bình - Tp. Biên Hòa - T. Đồng Nai,(84.251) 383 6361,+84-(0)61-386.33.88,http://www.taya.com.vn,,,,
UDC,HOSE,6.0700,0,53246%,8.39,4.45,-0.32,-19.0,-104%,-279%,1.58,34412000,34706000,294000,17150000,210665426,366007,-10935,392275,657056,1049331,CTCP Xây dựng và Phát triển Đô thị Tỉnh Bà Rịa Vũng Tàu,Urban Development & Construction Corporation,Số 37 - Đường 3/2 - P.8 - Tp.Vũng Tàu - T.Bà Rịa Vũng Tàu,(84.254) 385 9617,+84-(0)64-385.96.18,http://www.udec.com.vn,,,,
UIC,HOSE,46.9000,0,119187%,55.95,34.44,8.84,5.3,1620%,2246%,0.69,8000000,8000000,0,3920000,375200012,2628420,0,314814,121744,436557,CTCP Đầu tư Phát triển Nhà và Đô thị IDICO,Idico Urban & House Development JSC,KCN Nhơn Trạch 1 - H. Nhơn Trạch - T. Đồng Nai,(84.251) 356 0614,+84-(0)61-356.06.10,http://idico-udico.com.vn,,,,
VAF,HOSE,10.8000,0,87520%,12.90,7.72,0.59,18.3,403%,482%,1.87,37665348,37665348,0,14196993,406785766,785709,14401,464877,90444,555321,CTCP Phân lân Nung chảy Văn Điển,Van Dien Fused Magnesium Phosphate Fertilizer JSC,Đường Phan Trọng Tuệ - X.Tam Hiệp - H.Thanh Trì - Tp.Hà Nội,(84.24) 3688 4489 - 3688 5174,024 3688 4277,vandienfmp.vn,,,,
VCA,HOSE,13.3500,0,87084%,16.68,8.39,1.62,8.2,661%,1054%,1.23,15187322,15187322,0,7379826,202750754,2384393,0,232884,138620,371504,CTCP Thép VICASA - VNSTEEL,VNSTEEL - VICASA JSC,KCN Biên Hòa I - Đường số 9 - P.An Bình - Tp.Biên Hòa - T.Đồng Nai,(84.251) 383 6148,2513836505,http://www.vicasasteel.com/,,,,
VCB,HOSE,97.0000,0,356225%,116.40,75.78,5.71,17.0,166%,2096%,1.07,3708877448,3708877448,0,799506100,359761112456,68222905,21187046,101007679,1177958179,1278965858,Ngân hàng TMCP Ngoại thương Việt Nam,Bank for Foreign Trade of Vietnam,Số 198 Trần Quang Khải - Q.Hoàn Kiếm - Tp.Hà Nội,(84.24) 3934 3137,(84.4) 39360049/38269067,http://www.vietcombank.com.vn,,,,
VCF,HOSE,250.5000,0.1,422785%,253.00,186.77,26.20,9.6,3457%,4423%,0.59,26579135,26579135,0,13023776,6658073318,2818588,696459,1574762,439686,2014447,CTCP Vinacafé Biên Hòa,Vinacafé Bienhoa Joint Stock Company,KCN Biên Hòa I - Tp.Biên Hòa - T.Đồng Nai,(84.251) 383 6554 - 383 4470,061. 3836 108,http://www.vinacafebienhoa.com,,,,
VCG,HOSE,44.8000,0,257176%,48.00,21.74,6.28,7.1,877%,2450%,0.77,441710673,441710673,0,216438229,19788637813,5504053,1884790,7693171,13804053,21497224,Tổng Công ty cổ phần Xuất nhập khẩu và Xây dựng Việt Nam,Vietnam Construction And Import-Export Joint Stock Corporation,Tòa nhà Vinaconex - 34 Láng Hạ - Q.Đống Đa - Tp.Hà Nội,(84.24) 6284 9234,024 62.84.92.08,http://www.vinaconex.com.vn,,,,
VCI,HOSE,47.4000,0,159811%,59.00,9.49,5.73,8.3,1001%,1919%,1.77,165600000,165600000,0,0,7849440253,2128327,942189,4910901,4499384,9410285,CTCP Chứng khoán Bản Việt,Viet Capital Securities Joint Stock Company,Tầng 15 - Tháp Tài chính Bitexco - 2 Hải Triều - Q. 1 - Tp. Hồ Chí Minh,(84.28) 3914 3588,028 3914 4531,http://www.vcsc.com.vn,,,,
VDP,HOSE,36.2500,0,83219%,40.65,29.78,3.92,9.2,493%,899%,0.73,12782904,12782904,0,0,463380270,745965,0,556802,458122,1014924,CTCP Dược phẩm Trung ương VIDIPHA,Vidipha Central Pharmaceutical Joint Stock Company,184/2 Lê Văn Sỹ - P. 10 - Q. Phú Nhuận - Tp. Hồ Chí Minh,(84.28) 3844 3869 - 3844 0448 - 3844 0106,028 3 8440 446,http://www.vidipha.com.vn,,,,
VDS,HOSE,22.2000,0,172360%,27.62,5.24,3.38,6.6,1143%,2626%,1.94,100099906,100099906,0,34300000,2222217990,589554,341013,1289712,1673510,2963222,CTCP Chứng khoán Rồng Việt,Viet Dragon Securities Corporation,Tầng 1-2-3-4-5 Tòa nhà Viet Dragon - 141 Nguyễn Du - Q. 1 - Tp. Hồ Chí Minh,(84.28) 6299 2006,028 62.91.79.86,http://www.vdsc.com.vn,,,,
VGC,HOSE,29.8500,0,183467%,36.90,18.04,1.59,18.8,331%,975%,1.00,448350000,448350000,0,117293600,13383247671,9481625,711195,7294874,14185878,21480752,Tổng Công ty Viglacera - CTCP,Viglacera Corporation - JSC,Tầng 16-17 Tòa nhà Viglacera - Số 1 Đại lộ Thăng Long - P.Mễ Trì - Q.Nam Từ Liêm - Tp.Hà Nội,(84.24) 3553 6660,024 3553 6671,http://www.viglacera.com.vn,,,,
VHC,HOSE,39.7500,0,135712%,47.50,31.77,3.68,10.8,933%,1257%,1.28,183376956,183376956,0,92403943,7289234001,7286354,131039,5371122,1862725,7233846,CTCP Vĩnh Hoàn,Vinh Hoan Corporation,Quốc lộ 30 - P. 11 - Tp. Cao Lãnh - T. Đồng Tháp,(84.277) 389 1166,067 891062,http://vinhhoan.com/,,,,
VHM,HOSE,107.6000,0,381020%,118.60,70.90,7.98,13.5,1286%,2824%,1.31,3349513918,3349513918,0,0,360407692466,77358485,26715444,94604678,113109995,207714673,CTCP Vinhomes,Vinhomes JSC,Tòa nhà văn phòng SymPhony Đường Chu Huy Mân - KĐT sinh thái Vinhomes Riverside - P. Phúc Lợi - Q. Long Biên - Tp. Hà Nội,024 39749350,024 39749351,https://vinhomes.vn/,,,,
VIB,HOSE,40.2000,0,230769%,52.86,10.42,4.71,8.5,203%,2704%,1.35,1109387852,1109387852,0,0,44597392497,18330654,5226576,19325737,238540305,257866042,Ngân hàng TMCP Quốc tế Việt Nam,Vietnam International Commercial Joint Stock Bank,Tầng 1 (tầng trệt) và tầng 2 toà nhà Sailing Tower số 111A Pasteur - P. Bến Nghé - Q. 1 - Tp. HCM,(84.28) 6299 9039,(84-4) 6276 0069,http://www.vib.com.vn,,,,
VIC,HOSE,104.0000,0,251694%,144.00,83.50,1.95,53.3,157%,472%,1.10,3382430590,3382430590,0,624438089,351772781360,118469239,6603022,139774455,280058249,419832704,Tập đoàn VINGROUP - CTCP,Vingroup Joint Stock Company,Số 07 - Đường Bằng Lăng 1 - KĐT sinh thái Vinhomes Riverside - P. Việt Hưng - Q. Long Biên - Tp. Hà Nội,(84.24) 3974 9999 - 3974 9999,024 3974.88.88,http://www.vingroup.net,,,,
VID,HOSE,9.8400,0,57882%,12.00,7.35,0.45,21.9,140%,267%,1.34,30880070,30880070,0,12506155,303859894,1166381,14034,525077,478399,1003476,CTCP Đầu tư Phát triển Thương mại Viễn Đông,Vien Dong Investment Development Trading Corporation,Số 806 Âu Cơ - P.14 - Q.Tân Bình - Tp.HCM,(84.28) 3842 8633,8.3842588,https://dautuviendong.vn/,,,,
VIP,HOSE,8.1500,0,49725%,11.45,4.85,0.77,10.6,321%,469%,1.54,68470941,68470941,0,33550761,558038143,555908,0,1121972,516450,1638422,CTCP Vận tải Xăng dầu Vipco,Vietnam Petroleum Transport Joint Stock Company,Số 37 Phan Bội Châu - P. Quang Trung - Q. Hồng Bàng - Tp. Hải Phòng,(84.225) 383 8680,0313 838 033,http://www.vipco.com.vn,,,,
VIS,HOSE,16.6000,0,226158%,23.00,11.80,1.15,14.4,282%,1565%,1.44,73830393,73830393,0,24117928,1225584552,4477233,0,541605,2464379,3005983,CTCP Thép Việt Ý,Vietnam – Italy Steel Joint Stock Company,KCN Phố Nối A - X.Giai Phạm - H.Yên Mỹ - T.Hưng Yên,(84.221) 3942 427,+84-(0)321-394.22.26,http://vis.com.vn,,,,
VIX,HOSE,21.7500,0,134342%,41.45,8.10,5.26,4.1,2630%,3248%,2.10,127718975,127718975,0,34349080,2777887706,1135101,671701,2067814,486090,2553903,CTCP Chứng khoán VIX,VIX Securities Joint Stock Company,Tầng 22 số 52 Phố Lê Đại Hành - P. Lê Đại Hành - Q. Hai Bà Trưng - Hà Nội,(84.24) 4456 8888,024 39.78.53.80/79,www.vixs.vn,,,,
VJC,HOSE,113.4000,0,419845%,137.70,94.50,2.24,50.6,255%,828%,0.78,541611334,541611334,0,0,61418726102,16257891,1210773,14629566,32868244,47497810,CTCP Hàng không Vietjet,Vietjet Aviation Joint Stock Company,Đơn Nguyên 1 - Nhà 2C - Khu Đoàn Ngoại giao Vạn Phúc - P. Ngọc Khánh - Q. Ba Đình - Tp. Hà Nội,(84.24) 3728 1828 - 7108 6668,0243 7281 838,http://www.vietjetair.com,,,,
VMD,HOSE,25.6000,0,103101%,34.13,17.28,2.26,11.3,40%,909%,1.06,15440268,15440268,0,4135731,395270867,17686095,9190,383432,8243964,8627396,CTCP Y Dược phẩm Vimedimex,Vimedimex Medi - Pharma Joint Stock Company,246 Cống Quỳnh - P. Phạm Ngũ Lão - Q. 1 - Tp. HCM,(84.28) 3925 4264 - 3839 8441 - 3839 6012 - 3839 8449,028 8325953,http://www.vietpharm.com.vn/,,,,
VNE,HOSE,7.9000,0,69238%,8.84,4.50,0.25,31.6,106%,219%,1.21,87235113,88834033,1598920,40355177,701788869,1314717,21834,994920,1058738,2053658,Tổng Công ty cổ phần Xây dựng Điện Việt Nam,Vietnam Electricity Construction Joint Stock Corporation,Số 344 Phân Châu Trinh - P. Bình Thuận - Q. Hải Châu - TP. Đà Nẵng,(84.236) 356 2361,0236 356 2367,http://www.vneco.vn,,,,
VNG,HOSE,11.5500,0,98549%,16.50,11.30,-0.54,-21.4,-249%,-464%,0.75,97276608,97276608,0,6370000,1123544841,343267,-52886,1140259,984443,2124702,CTCP Du lịch Thành Thành Công,Thanh Thanh Cong Tourist Joint Stock Company,Số 253 Hoàng Văn Thụ - P. 2 - Q. Tân Bình - Tp. Hồ Chí Minh,1900 55 88 55,028 3863 4888,https://ttchospitality.vn/,,,,
VNL,HOSE,18.3000,0,71289%,21.00,14.17,3.21,5.7,721%,1250%,0.91,9000000,9000000,0,4410000,164699993,1297063,0,231031,169463,400494,CTCP Logistics Vinalink,Vinalink Logistics Joint Stock Company,226/2 Lê Văn Sỹ - P. 1 - Q. Tân Bình - Tp. HCM,(84.28) 3991 9259,028 3940.53.31,http://vinalinklogistics.com/,,,,
VNM,HOSE,87.6000,0,539077%,114.87,83.01,5.22,16.8,2137%,3212%,0.96,2089955445,2089955445,0,1209549924,183080093793,58757432,10909942,33963941,17087270,51051211,CTCP Sữa Việt Nam,Viet Nam Dairy Products Joint Stock Company,Tòa nhà Vinamilk - Số 10 Tân Trào - P. Tân Phú - Q. 7 - Tp. Hồ Chí Minh,(84.28) 5415 5555,(028) 54 161 226,http://www.vinamilk.com.vn,,,,
VNS,HOSE,8.8000,0,41083%,11.40,8.71,-3.25,-2.7,-1128%,-1515%,0.79,67859192,67859192,0,33251004,597160903,862853,-220243,1453564,498311,1951875,CTCP Ánh Dương Việt Nam,VietNam Sun Copporation,Vinasun Tower 648 Nguyễn Trãi - P.11 - Q.5 - Tp.HCM,(84.28) 3827 7178,2839526410,http://www.vinasuncorp.com,,,,
VOS,HOSE,7.3100,0,203621%,8.57,1.26,-0.88,-8.3,-437%,-2449%,1.78,136220000,138110000,1890000,68600000,1009584092,1193211,0,489007,2248845,2737852,CTCP Vận tải Biển Việt Nam,Viet Nam Ocean Shipping Joint Stock Company,Số 215 Lạch Tray - P. Đằng Giang - Q. Ngô Quyền - Tp. Hải Phòng,(84.225) 373 1090 - 373 1033,+84-(0)31-3731.652,http://www.vosco.vn,,,,
VPB,HOSE,58.5000,0,256692%,72.70,19.75,4.60,12.7,259%,2018%,1.48,2456748366,2456748366,0,0,143719779411,52452150,11301573,55995312,380245874,436241186,Ngân hàng TMCP Việt Nam Thịnh Vượng,Vietnam Prosperity Joint Stock Commercial Bank,Số 89 Láng Hạ - P. Láng Hạ - Q. Đống Đa - Tp. Hà Nội,(84.24) 3928 8869,0243 9288 867,http://www.vpbank.com.vn/,,,,
VPD,HOSE,14.1000,0,120823%,15.20,13.07,0.94,15.0,467%,801%,0.59,106589629,106589629,0,48965328,1502913810,503016,0,1243826,891229,2135055,CTCP Phát triển Điện lực Việt Nam,Vietnam Power Development Joint Stock Company,Tầng 2 - CT2 -286 Nguyễn Xiển - X. Tân Triều - H. Thanh Trì - Tp. Hà Nội,(84.24) 2213 1580,024 35527987,http://vnpd.com.vn/,,,,
VPG,HOSE,44.6500,0,266567%,45.60,9.98,5.78,7.7,1077%,3450%,1.28,39199814,39199814,0,0,1750271755,2770466,0,656591,1446815,2103406,CTCP Đầu tư Thương mại Xuất nhập khẩu Việt Phát,Viet Phat Import Export Trading Investment Joint Stock Company,Số 123BT 02-97 Bạch Đằng - P. Hạ Lý - Q. Hồng Bàng - Tp. Hải Phòng,+84 (225) 3569 699,0225 3569 689,http://vietphatjsc.com.vn/,,,,
VPH,HOSE,5.0000,0,46773%,6.79,3.91,0.14,35.7,63%,130%,1.51,95357800,95357800,0,22203210,476789000,272733,13221,1019486,1092694,2112179,CTCP Vạn Phát Hưng,Van Phat Hung Corporation,MB. 105 - Tầng 1 Trung tâm dịch vụ - Lô DV3 - Đường Long Hậu - Hiệp Phước - KCN Long hậu - X. Long Hậu - H. Cần Giuộc - T. Long An,(84.28) 3785 0011,08.37852500 - 08.37854422 - 08.37760902,http://vanphathung.com/,,,,
VPI,HOSE,35.9500,0,242578%,38.05,32.40,1.56,23.0,321%,1054%,0.63,199999900,199999900,0,0,7189996558,2232869,312488,2964384,6771259,9735642,CTCP Đầu tư Văn Phú - INVEST,Van Phu - Invest Investment Joint Stock Company,Số 104 Thái Thịnh - P. Trung Liệt - Q. Đống Đa - Tp. Hà Nội,(84.24) 6258 3535,024 6258 3636,http://vanphu.vn/,,,,
VPS,HOSE,15.4000,0,111031%,20.55,7.67,0.59,26.1,305%,422%,1.64,24460792,24460792,0,8561277,376696187,557589,14324,339254,130859,470112,CTCP Thuốc sát trùng Việt Nam (VIPESCO),Vietnam Pesticide Joint Stock Company,102 Nguyễn Đình Chiểu - P. Đa Kao - Q. 1 - Tp. HCM,(84.28) 3911 8420,028 823.07.52,http://www.vipesco.com.vn,,,,
VRC,HOSE,6.7800,0,26873%,12.30,5.00,0.02,339.0,6%,9%,1.65,50000000,50000000,0,7107333,339000010,4268,1123,1261599,544299,1805898,CTCP Bất động sản và Đầu tư VRC,VRC Real Estate and Investment JSC,A1. 0506 Tầng 05 Tháp A1 - Tòa nhà The Gold View 346 Bến Vân Đồn - P. 01 - Q. 4 - Tp. HCM,(84.28) 3837 5572,0283.8375 571,http://vrc.com.vn,,,,
VRE,HOSE,27.0000,0,208817%,37.80,25.10,1.15,23.5,671%,887%,1.30,2328818410,2328818410,0,0,62878097070,8869639,2670704,30116952,9663235,39780187,CTCP Vincom Retail,Vincom Retail Joint Stock Company,Số 7 - Đường Bằng Lăng 1 - Khu đô thị sinh thái Vinhomes Riverside - P. Việt Hưng - Q. Long Biên - Tp. Hà Nội,(84.24) 3974 9999,024 3974 8888,http://vincom.com.vn/,,,,
VSC,HOSE,64.2000,0,157623%,65.84,25.65,4.49,14.3,982%,1103%,0.99,55122798,55122798,0,22322999,3538883463,1715673,247639,2245100,276144,2521244,CTCP Container Việt Nam,Vietnam Container Shipping Joint Stock Corporation,Số 11 Võ Thị Sáu - P. Máy Tơ - Q. Ngô Quyền - Tp. Hải Phòng,(84.225) 383 6705,+84-(0)31-38.361.04,http://www.viconship.com,,,,
VSH,HOSE,20.6000,0,125994%,22.00,15.61,1.27,16.2,295%,779%,0.78,228241246,232241246,4000000,101058210,4784169756,494749,0,3731784,6132022,9863807,CTCP Thủy điện Vĩnh Sơn - Sông Hinh,Vinh Son - Song Hinh Hydropower Joint Stock Company,Số 21 Nguyễn Huệ - P. Hải Cảng - Tp. Quy Nhơn - T. Bình Định,(84.256) 389 2792,+84-(0)56-389.19.75,http://www.vshpc.evn.com.vn,,,,
VSI,HOSE,19.4000,0,122243%,22.48,14.99,1.42,13.7,322%,893%,1.07,13200000,13200000,0,6468000,256079995,305865,18700,209424,371939,581363,CTCP Đầu tư và Xây dựng Cấp thoát nước,Water Supply Sewerage Contruction & Invesment,. JSC,Tòa nhà WASECO - Số 10 Phổ Quang - P.2 - Q.Tân Bình - Tp.HCM,(84.28) 3847 5166,028 38.47.51.61,http://www.waseco.com.vn,,,
VTB,HOSE,11.2000,0,52607%,14.10,8.84,1.54,7.3,520%,723%,1.03,9803270,10892660,1089390,5871204,121997790,433537,15099,208696,81667,290364,CTCP Viettronics Tân Bình,Viettronics Tan Binh Joint Stock Company,248A Nơ Trang Long - P.12 - Q.Bình Thạnh - Tp.HCM,(84.28) 3516 3885,028 3516 3886,http://www.vtb.com.vn,,,,
VTO,HOSE,8.7700,0,62023%,11.30,5.47,1.12,7.8,507%,792%,1.07,79866666,79866666,0,39134666,700430697,1070048,0,1129276,634891,1764167,CTCP Vận tải Xăng dầu Vitaco,Viet Nam Tanker Joint Stock Company,236/106/1A Điện Biên Phủ - P.17 - Q.Bình Thạnh - Tp.HCM,(84.28) 3514 6024,(84.28) 3514 6025 - 3829 3848,http://vitaco.petrolimex.com.vn,,,,
YBM,HOSE,6.7100,0,54955%,8.15,3.72,0.98,6.8,330%,800%,1.32,14299880,14299880,0,0,95952195,462698,12841,174595,248273,422867,CTCP Khoáng sản Công nghiệp Yên Bái,Yen Bai Industry Mineral JSC,Khu công nghiệp phía Nam xã Văn Tiến - Tp. Yên Bái - Yên Bái,(84.216) 629 8666,,https://ybm.com.vn/,,,,
YEG,HOSE,16.1000,0,60847%,53.00,15.80,-4.06,-4.0,-957%,-1534%,1.29,31279968,31279968,0,0,503607497,1255122,-126995,827797,498736,1326534,CTCP Tập đoàn Yeah1,Yeah1 Group Corporation,Số 191 đường Nam Kỳ Khởi Nghĩa - P. 07 - Q. 03 - Tp. HCM,(84.28) 7300 6071,(028) 3910 1073,https://yeah1group.com/,,,,
